ibge_code,ibge_name,uf,prefeitura_url,camara_url
5107305,São José do Rio Claro,MT,http://www.saojosedorioclaro.mt.gov.br,http://www.saojosedorioclaro.mt.leg.br/
5107354,São José do Xingu,MT,http://saojosedoxingu.mt.gov.br,https://www.camarasaojosedoxingu.mt.gov.br/
5107404,São Pedro da Cipa,MT,https://saopedrodacipa.mt.gov.br/,http://www.camarasaopedrodacipa.mt.gov.br/
5107578,Rondolândia,MT,http://rondolandia.mt.gov.br,http://www.camara.sp.gov.br/
5107602,Rondonópolis,MT,http://www.rondonopolis.mt.gov.br,https://rondonopolis.mt.leg.br/
5107701,Rosário Oeste,MT,http://rosariooeste.mt.gov.br,https://www.camararosariooeste.mt.gov.br/
5107743,Santa Cruz do Xingu,MT,https://santacruzdoxingu.mt.gov.br/,https://www.santacruzdoxingu.mt.leg.br/
5107750,Salto do Céu,MT,,https://www.saltodoceu.mt.leg.br/
5107768,Santa Rita do Trivelato,MT,https://santaritadotrivelato.mt.gov.br/,https://santaritadotrivelato.mt.leg.br/
5107776,Santa Terezinha,MT,https://santaterezinha.mt.gov.br/,https://www.santaterezinha.mt.leg.br/
5107792,Santo Antônio do Leste,MT,https://santoantoniodoleste.mt.gov.br/,https://www.santoantoniodoleste.mt.leg.br/
5107800,Santo Antônio de Leverger,MT,,http://www.camaraleverger.mt.gov.br/
5107859,São Félix do Araguaia,MT,http://www.saofelixdoaraguaia.mt.gov.br,https://www.camarasaofelixdoaraguaia.mt.gov.br/
5107875,Sapezal,MT,https://sapezal.mt.gov.br/,https://sapezal.mt.leg.br/
5107883,Serra Nova Dourada,MT,http://serranovadourada.site,https://serranovadourada.mt.leg.br/
5107909,Sinop,MT,https://sinop.mt.gov.br/,https://www.sinop.mt.leg.br/
5107925,Sorriso,MT,http://www.sorriso.mt.gov.br,http://sorriso.mt.leg.br/
5107941,Tabaporã,MT,https://tabapora.mt.gov.br/,https://www.camaratabapora.mt.gov.br/
5107958,Tangará da Serra,MT,http://tangaradaserra.mt.gov.br,http://www.tangaradaserra.mt.leg.br/
5108006,Tapurah,MT,http://tapurah.mt.gov.br,https://www.tapurah.mt.leg.br/
5108055,Terra Nova do Norte,MT,https://terranovadonorte.mt.gov.br/,https://terranovadonorte.mt.leg.br/
5108105,Tesouro,MT,http://pmtesouro.com.br/,https://tesouro.mt.leg.br/
5108204,Torixoréu,MT,http://torixoreu.mt.gov.br,https://torixoreu.mt.leg.br/
5108303,União do Sul,MT,http://uniaodosul.mt.gov.br,https://uniaodosul.mt.leg.br/
5108352,Vale de São Domingos,MT,https://www.valedesaodomingos.mt.gov.br/,https://valedesaodomingos.mt.leg.br/
5108402,Várzea Grande,MT,https://varzeagrande.mt.gov.br/,http://www.camaravarzeagrande.mt.gov.br/
5108501,Vera,MT,https://vera.mt.gov.br/,https://vera.mt.leg.br/
5108600,Vila Rica,MT,https://vilarica.mt.gov.br/,https://camaravilarica.mt.gov.br/
5108808,Nova Guarita,MT,https://novaguarita.mt.gov.br/,http://www.novaguarita.mt.leg.br/
5108857,Nova Marilândia,MT,https://novamarilandia.mt.gov.br/,https://novamarilandia.mt.leg.br/
5108907,Nova Maringá,MT,http://www.novamaringa.mt.gov.br,https://www.novamaringa.mt.leg.br/
5108956,Nova Monte Verde,MT,http://novamonteverde.mt.gov.br,https://www.novamonteverde.mt.leg.br/
5200050,Abadia de Goiás,GO,http://abadiadegoias.go.gov.br,http://www.camaradeabadiadegoias.go.gov.br/
5200100,Abadiânia,GO,http://www.abadiania.go.gov.br,http://www.abadiania.go.leg.br/
5200134,Acreúna,GO,https://acreuna.go.gov.br/,http://www.camaraacreuna.go.gov.br/
5200159,Adelândia,GO,http://adelandia.go.gov.br,
5200175,Água Fria de Goiás,GO,https://aguafriadegoias.go.gov.br,https://aguafriadegoias.go.leg.br/
5200209,Água Limpa,GO,http://agualimpa.go.gov.br,http://camaraagualimpa.go.gov.br/
5200258,Águas Lindas de Goiás,GO,http://aguaslindasdegoias.go.gov.br,http://www.aguaslindasdegoias.go.leg.br/
5200308,Alexânia,GO,http://www.alexania.go.gov.br,http://www.camaraalexania.go.gov.br/
5200506,Aloândia,GO,http://aloandia.go.gov.br,http://www.aloandia.go.leg.br/
5200555,Alto Horizonte,GO,http://altohorizonte.go.gov.br,http://www.camaraaltohorizonte.go.gov.br/
5200605,Alto Paraíso de Goiás,GO,http://www.cmaltoparaiso.com/,https://altoparaisodegoias.go.leg.br/
5200803,Alvorada do Norte,GO,https://alvoradadonorte.go.gov.br/,http://www.camaraalvoradadonorte.go.gov.br/
5200829,Amaralina,GO,https://www.amaralina.go.gov.br/,https://amaralina.go.leg.br/
5200852,Americano do Brasil,GO,https://www.americanodobrasil.go.gov.br,https://www.camaraamericanodobrasil.go.gov.br/
5200902,Amorinópolis,GO,http://amorinopolis.go.gov.br,http://www.amorinopolis.go.leg.br/
5201108,Anápolis,GO,http://www.anapolis.go.gov.br,http://www.anapolis.go.leg.br/
5201207,Anhanguera,GO,https://anhanguera.go.gov.br/,https://www.camaraanhanguera.go.gov.br/
5201306,Anicuns,GO,http://anicuns.go.gov.br,https://www.camaraanicuns.go.gov.br/
5201405,Aparecida de Goiânia,GO,http://www.aparecida.go.gov.br,https://www.camaradeaparecida.go.gov.br/
5201454,Aparecida do Rio Doce,GO,http://aparecidadoriodoce.go.gov.br,http://www.camaraaparecidadoriodoce.go.gov.br/
5201504,Aporé,GO,http://apore.go.gov.br,http://www.apore.go.leg.br/
5201603,Araçu,GO,https://aracu.go.gov.br/,http://www.camaradearacu.go.gov.br/
5201702,Aragarças,GO,http://aragarcas.go.gov.br,https://www.aragarcas.go.leg.br/
5201801,Aragoiânia,GO,http://aragoiania.go.gov.br,https://aragoiania.go.leg.br/
5202155,Araguapaz,GO,http://araguapaz.go.gov.br,https://araguapaz.go.leg.br/
5202353,Arenópolis,GO,http://arenopolis.go.gov.br,https://arenopolis.go.leg.br/
5202502,Aruanã,GO,https://aruana.go.gov.br/,https://www.camaraaruana.go.gov.br/
5202601,Aurilândia,GO,http://www.aurilandia.go.gov.br/,https://aurilandia.go.leg.br/
5202809,Avelinópolis,GO,https://avelinopolis.go.gov.br/,https://avelinopolis.go.leg.br/
5203104,Baliza,GO,https://baliza.go.gov.br/,https://www.baliza.go.leg.br/
5203203,Barro Alto,GO,https://barroalto.go.gov.br/,https://barroalto.go.leg.br/
5203302,Bela Vista de Goiás,GO,http://belavista.go.gov.br,http://www.camarabelavistadegoias.go.gov.br/
5203401,Bom Jardim de Goiás,GO,http://bomjardim.go.gov.br,https://www.bomjardimdegoias.go.leg.br/
5203500,Bom Jesus de Goiás,GO,https://bomjesus.go.gov.br/,http://www.camarabomjesus.go.gov.br/
